"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DR_DEPOT";"DPC_AUT";"DPC_DOC";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"NB_CHAMBRES";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_AUTR_AVANT";"SURF_AUTR_CREEE";"SURF_AUTR_ISSUE_TRANSFO";"SURF_AUTR_DEMOLIE";"SURF_AUTR_TRANSFORMEE";"SURF_COM_AVANT";"SURF_COM_CREEE";"SURF_COM_ISSUE_TRANSFO";"SURF_COM_DEMOLIE";"SURF_COM_TRANSFORMEE";"SURF_AGR_AVANT";"SURF_AGR_CREEE";"SURF_AGR_ISSUE_TRANSFO";"SURF_AGR_DEMOLIE";"SURF_AGR_TRANSFORMEE";"SURF_PUB_AVANT";"SURF_PUB_CREEE";"SURF_PUB_ISSUE_TRANSFO";"SURF_PUB_DEMOLIE";"SURF_PUB_TRANSFORMEE";"TYPE_SERVICE_PUBLIC"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1007";5;"2016-07-04";"2016-12-28";;2016;;"2016-07";"2019-11";"2019-11";"68.20B";6540;"SCI ALICI";"441445947";"44144594700019";"01 50";"AMBERIEU-EN-BUGEY";"false";;"RUE DES METIERS";;"AMBERIEU-EN-BUGEY";"01500";"AK";"474";;;;;370;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;0;141;0;0;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1010";2;"2016-06-16";;;2016;;"2019-11";;"2019-11";"84.11Z";7230;"REGION AUVERGNE-RHONE-ALPES";"200053767";"20005376700014";"69 26";"LYON 02";"false";;"AVENU LEON BLUM";;"AMBERIEU-EN-BUGEY";"01 50";"AM";"269";;;;;40900;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;2
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1011";6;"2016-05-13";"2016-08-01";"2016-12-23";2016;;"2016-05";"2016-12";"2016-12";;;;;;"01150";"VAUX EN BUGEY";"false";;"RUE FRANCOISE DOLTO";"ZA EN PRAGNAT NORD";"AMBERIEU-EN-BUGEY";"01500";"AR";"384";;;;;3255;4;2;5;3;;;"false";"false";"false";0;0;0;0;0;0;0;535;202;0;0;0;535;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1013";5;"2016-07-01";"2016-07-04";;2016;;"2018-02";"2019-11";"2019-11";"68.20B";6540;"SCI IDEMO";"818643108";"81864310800017";"01500";"AMBRONAY";"false";;"DERRIERE LES GRANGES";;"AMBERIEU-EN-BUGEY";"01 50";"AT";"685";"AT";"688";"AT";"460";4511;4;2;3;4;4;4;"false";"false";"false";0;0;0;0;0;0;0;1320;455;455;0;455;0;155;0;0;0;1320;300;455;0;455;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1019";2;"2016-07-11";;;2016;;"2018-02";;"2018-02";"68.20B";6540;"SCI HONORE DE BALZAC";"318133204";"31813320400038";"01500";"AMBERIEU EN BUGEY";"false";"65";"AVENUE DE LA LIBERATION";;"AMBERIEU-EN-BUGEY";"01500";"AE";"321";"AE";"322";"AE";"324";2971;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;210;38;0;0;0;0;0;0;0;0;210;38;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1023";6;"2016-08-09";"2016-11-21";"2017-10-17";2016;;"2018-02";"2018-03";"2018-03";"68.20A";4140;"DYNACITE OFFICE PUBLIC DE L'HABITAT DE L'AIN";"779306471";"77930647100037";"01013";"BOURG-EN-BRESSE";"false";"10";"RUE DE LA COMMUNE 1871";;"AMBERIEU-EN-BUGEY";"01 50";"AP";"45";"AP";"665";"AP";"44";11724;4;1;1;9;;;"false";"false";"false";0;0;0;0;0;0;0;4360;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4360;166;0;0;0;4
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1025";4;"2016-07-28";;;2016;;"2018-02";;"2018-02";"68.10Z";5499;"SARL FREMA";"392626560";"39262656000016";"01 50";"AMBERIEU-EN -BUGEY";"false";;"Z.A. EN PRAGNAT NORD";;"AMBERIEU-EN-BUGEY";"01 50";"AR";"518";;;;;3000;4;1;1;4;;;"false";"false";"false";0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1030";6;"2016-07-13";"2016-08-18";"2016-10-27";2016;;"2019-11";"2019-11";"2019-11";"46.72Z";5710;"ETABLISSEMENTS MARCELPOIL";"348761982";"34876198200019";"01 50";"AMBERIEU-EN-BUGEY";"false";;"AVENU DE LA LIBERATION";;"AMBERIEU-EN-BUGEY";"01 50";"AK";"480";;;;;60004;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;3247;311;0;0;0;3247;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1036";5;"2016-08-12";"2016-09-01";;2016;;"2018-02";"2019-11";"2019-11";;;;;;"01500";"AMBERIEU-EN-BUGEY";"false";"34";"RUE DE VAREILLES";;"AMBERIEU-EN-BUGEY";"01500";"BH";"83";"BH";"105";"BH";"84";1247;4;2;3;3;4;3;"true";"false";"false";0;0;132;14;0;0;0;33;0;22;9;22;24;0;22;0;22;0;0;0;0;0;0;0;0;0;0;9;0;0;9;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1040";6;"2017-05-05";"2017-07-21";"2017-11-20";2016;;"2017-05";"2017-12";"2017-12";"84.11Z";7346;"CTE DE COMMUNES DE LA PLAINE DE L'AIN";"240100883";"24010088300018";"01150";"CHAZEY SUR AIN";"false";;"LES GREMODIERES";;"AMBERIEU-EN-BUGEY";"01 50";"AC";"488";"AC";"489";"AC";"24";17726;4;2;5;9;;;"true";"false";"false";0;0;0;0;0;0;0;10;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;108;0;0;0;5
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1041";6;"2016-09-01";"2017-02-13";"2017-11-21";2016;;"2018-01";"2018-01";"2018-01";"68.20B";6599;"JS5C";"818679250";"81867925000014";"01150";"LEYMENT";"false";;"ZA EN PRAGNAT NORD";"RUE DU PROFESSEUR LUC MONTAGNIER";"AMBERIEU-EN-BUGEY";"01 50";"AR";"533";;;;;1500;4;1;1;3;;;"false";"false";"false";0;0;0;0;0;0;0;0;200;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"01004";"PC";"00100416A1068";4;"2017-05-19";;;2016;;"2017-05";;"2017-05";"68.20B";6540;"HR";"803157148";"80315714800013";"01 50";"AMBERIEU-EN-BUGEY";"false";"40";"RUE DES PLATTES";;"AMBERIEU-EN-BUGEY";"01 50";"BD";"341";;;;;332;4;2;2;1;3;1;"false";"false";"false";0;0;214;0;0;0;214;0;0;214;0;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
